outer_fold,target,station,model,n,mae,rmse,r2,pearson_r,drought_threshold,drought_support,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_threshold,severe_support,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy
2000-01_2004-12,spei6,Padaviya,ridge_ar24_met24,60,0.37205737308950393,0.4878555933499428,0.7121617549827715,0.8485935759608764,-1.0,13,1.0,0.46153846153846156,0.631578947368421,0.7307692307692308,-1.5,2,0.5,0.5,0.5,0.7413793103448276
2000-01_2004-12,spei6,Tissamaharama,ridge_ar24_met24,60,0.2815823012020066,0.3940068034043764,0.7998111459120255,0.8965871255733591,-1.0,12,0.9,0.75,0.8181818181818182,0.8645833333333333,-1.5,5,0.6666666666666666,0.4,0.5,0.6909090909090909
2005-01_2009-12,spei3,Buttala,persistence,60,0.5952975914228441,0.8243447259065879,0.24845177773513827,0.6242671830414493,-1.0,10,0.6,0.6,0.6,0.76,-1.5,1,0.0,0.0,,0.4915254237288136
2005-01_2009-12,spei3,Padaviya,persistence,60,0.7131974844294623,0.9075516466789545,-0.08151394982449922,0.4599317302420365,-1.0,7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6765498652291105,-1.5,3,0.0,0.0,,0.47368421052631576
2005-01_2009-12,spei3,Tissamaharama,persistence,60,0.5920467021394693,0.8230427135274979,0.3021144189413404,0.6506250021013485,-1.0,10,0.6,0.6,0.6,0.76,-1.5,1,0.0,0.0,,0.4915254237288136
2005-01_2009-12,spei3,Buttala,ridge_ar24,60,0.5423900483390546,0.6699933664894033,0.5035447243920518,0.7148174194551222,-1.0,10,0.3333333333333333,0.1,0.15384615384615383,0.53,-1.5,1,,0.0,,0.5
2005-01_2009-12,spei3,Padaviya,ridge_ar24,60,0.6056285982954412,0.8182019026712372,0.12095643818671997,0.48943019872553684,-1.0,7,0.0,0.0,,0.4716981132075472,-1.5,3,0.0,0.0,,0.4824561403508772
2005-01_2009-12,spei3,Tissamaharama,ridge_ar24,60,0.5331363522937184,0.6519972870790444,0.5620434217302103,0.7505201581291262,-1.0,10,1.0,0.2,0.33333333333333337,0.6,-1.5,1,,0.0,,0.5
2005-01_2009-12,spei6,Buttala,persistence,60,0.4842619704389922,0.638995823669402,0.4947119482858918,0.7490215730514669,-1.0,8,0.5,0.5,0.5,0.7115384615384616,-1.5,0,,,,
2005-01_2009-12,spei6,Padaviya,persistence,60,0.5226134020628832,0.7127521095807224,0.190339262481808,0.5998730849159896,-1.0,4,0.25,0.25,0.25,0.5982142857142857,-1.5,0,,,,
2005-01_2009-12,spei6,Tissamaharama,persistence,60,0.47578744773827786,0.6416349154384284,0.5405903647441226,0.7713239238538261,-1.0,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.738562091503268,-1.5,0,,,,
